Цена;Минут до метро;Количество комнат;Площадь;Площадь спален;Площадь кухни;Номер этажа;Количество этажей;Округ_ Центральный административный округ;Округ_Восточный административный округ;Округ_Западный административный округ;Округ_Новомосковский административный округ;Округ_Северный административный округ;Округ_Северо-Восточный административный округ;Округ_Северо-Западный административный округ;Округ_Центральный административный округ;Округ_Юго-Восточный административный округ;Округ_Юго-Западный административный округ;Округ_Южный административный округ;Ремонт_Без ремонта;Ремонт_Дизайнерский;Ремонт_Европейский;Ремонт_Косметический
10100100;22;1;36,3;11,1;17,2;17;33;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
108800000;5;3;108,8;57,1;15,6;3;3;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
53000000;9;3;96,9;59;11,1;2;5;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
44240000;6;3;63,2;34,1;11,9;40;41;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
105000000;6;3;145;75,4;18,6;3;6;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
47000000;9;3;103,8;59;15;6;6;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
67990000;6;3;111;40;15,8;5;6;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
170000000;10;3;117;51;6;3;5;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
224900000;9;3;237,2;157,1;17,2;14;14;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
52500000;11;3;92;70;20;4;21;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
38000000;13;3;109;75;25;35;58;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
95700000;11;3;86;54;8;2;9;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
22450000;7;3;83,5;49,7;12,5;16;22;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
67000000;1;3;104;74;20;3;15;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
17500000;10;3;77,1;38,8;13,5;22;25;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
41500000;5;3;106,7;40;30;15;17;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
46000000;28;3;70;12;12,4;2;14;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
179000000;11;3;141;73,4;18,3;3;15;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
222000000;8;3;237;157;26,2;14;14;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
39900000;8;3;84,9;48,2;21;18;31;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
39000000;7;3;75,7;40;5;7;17;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
51000000;5;3;112,3;58,9;15,9;16;25;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
145000000;5;3;97;51,2;14,7;7;18;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
86000000;5;3;97;72;15;5;14;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
100000000;7;3;95;60;15;11;21;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
33999000;4;3;95,5;65;14,5;29;29;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
36000000;13;3;77;36;25;4;6;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
42700000;6;3;110;60;11,5;36;40;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
100000000;5;3;90,53;47,9;14,1;10;21;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
115000000;13;3;121;66;15;16;39;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
24500000;8;3;68,5;38,8;9,1;4;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
26000000;14;3;62,5;38,6;6,4;3;12;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
56650000;17;3;82,2;52,3;7,6;37;41;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
72000000;15;3;91,4;61,9;7,1;10;41;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
115000000;16;3;95,7;40;14,6;3;7;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
115732500;6;3;118,7;62,1;16,5;3;5;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
195000000;5;3;128;66,8;17,2;3;6;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
290000000;13;3;151;106;20;2;7;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
37500000;13;3;73;22;12,7;12;30;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
99600000;9;3;83;52;10;7;13;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
99600000;8;3;83;44,1;13,5;7;13;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
179000000;11;3;141;73,4;18,3;3;15;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
44000000;17;3;87;46,1;13,8;15;22;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
170000000;10;3;169;87,6;20,6;4;6;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
250000000;8;3;137;71,4;18;9;15;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
49899998;7;3;75;50;9;1;7;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
55600000;10;3;79,9;34,5;28;2;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
99000000;9;3;120;35;16,6;2;14;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
131000000;5;3;114;35;16,1;7;21;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
238840000;5;3;140;62;27;2;4;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
48000000;9;3;82,5;31;16;31;53;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
40500000;10;3;106,1;43,5;32,4;48;58;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
43500000;10;3;105,6;62,7;15,6;11;53;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
120000000;15;3;100;9,6;14,9;6;7;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
144170000;5;3;111;58,3;15,8;6;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
148070000;7;3;113,9;56,6;17;6;12;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
175000000;6;3;188,5;97,4;22,2;3;4;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
27300000;14;3;90;41;13;3;9;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
33800000;7;3;90,8;45,7;12,6;2;30;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
45000000;17;3;81,6;33,7;28,8;13;28;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
59850000;8;3;126;65,8;17,1;3;29;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
41000000;10;3;94,1;7;14,4;4;5;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
43000000;10;3;118,6;54,4;30,4;9;48;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
