Цена;Минут до метро;Количество комнат;Площадь;Площадь спален;Площадь кухни;Номер этажа;Количество этажей;Округ_Восточный административный округ;Округ_Западный административный округ;Округ_Новомосковский административный округ;Округ_Северный административный округ;Округ_Северо-Восточный административный округ;Округ_Северо-Западный административный округ;Округ_Центральный административный округ;Округ_Юго-Восточный административный округ;Округ_Юго-Западный административный округ;Округ_Южный административный округ;Ремонт_Без ремонта;Ремонт_Дизайнерский;Ремонт_Европейский;Ремонт_Косметический
7900000;12;0;28;19;4;8;8;1;0;0;0;0;0;0;0;0;0;0;1;0;0
38500000;12;5;161;83;20;9;10;0;0;0;0;0;0;0;0;1;0;0;1;0;0
90000000;15;6;300;161;40;11;18;0;0;0;1;0;0;0;0;0;0;0;1;0;0
79000000;6;6;207;106;23;4;4;0;0;0;0;0;0;1;0;0;0;0;0;1;0
11500000;19;1;40;22;10;12;22;0;1;0;0;0;0;0;0;0;0;1;0;0;0
22200000;7;2;52;24;10;6;12;0;0;0;0;0;0;1;0;0;0;0;1;0;0
8000000;10;0;20;14;6;8;16;0;0;0;0;0;0;1;0;0;0;0;0;0;1
104000000;7;5;240;145;20;11;30;0;0;0;0;0;0;0;0;1;0;0;1;0;0
31499000;17;2;76;45;12;2;14;0;1;0;0;0;0;0;0;0;0;0;0;0;1
4250000;8;0;10;7;7;1;5;0;0;0;0;0;0;1;0;0;0;1;0;0;0
23444000;22;2;44;24;10;15;15;0;0;0;0;0;0;0;0;0;1;0;0;1;0
486432500;7;6;245;126;27;2;8;0;0;0;0;0;0;1;0;0;0;1;0;0;0
11200000;27;1;39;20;10;14;24;0;1;0;0;0;0;0;0;0;0;0;1;0;0
114000000;10;3;126;85;6;4;22;0;0;0;0;0;0;1;0;0;0;0;1;0;0
20500000;10;3;85;45;13;9;25;0;1;0;0;0;0;0;0;0;0;0;0;1;0
86000000;3;2;114;15;16;46;75;0;0;0;0;0;0;1;0;0;0;0;1;0;0
30000000;3;1;46;24;12;8;12;0;0;0;0;0;0;0;0;0;1;0;1;0;0
13000000;36;2;63;34;12;9;20;0;0;0;0;0;0;0;0;0;1;1;0;0;0
10500000;12;0;27;18;4;5;5;0;0;0;0;0;0;1;0;0;0;0;0;0;1
13500000;10;1;43;16;17;21;28;0;0;0;0;0;0;0;1;0;0;1;0;0;0
35000000;11;4;62;43;10;6;6;0;0;0;0;0;0;0;0;0;1;0;1;0;0
49000000;11;3;98;58;15;17;35;1;0;0;0;0;0;0;0;0;0;0;1;0;0
78500000;10;4;131;70;12;11;14;0;0;0;0;0;0;1;0;0;0;1;0;0;0
26898520;11;1;45;25;10;8;17;0;1;0;0;0;0;0;0;0;0;0;0;1;0
4850000;15;1;31;16;13;1;4;0;0;0;0;0;0;0;1;0;0;0;0;0;1
22800000;8;2;49;30;8;9;9;0;0;0;0;0;0;0;0;0;1;0;0;1;0
